CS,ELE_qt7,SL_qt7,AMP_gmt7,AMT_uni6,AME_qt7,NDVI_jnb7,NL_std6,POP_qt7,GDP_qt4,DTW_std6,DTG_std6,DTH_qt7,DTC_qt7
175.54,3,4,4,3,3,3,1,4,2,6,2,2,4
264.75,3,5,4,3,3,5,1,4,2,2,2,2,5
264.75,3,3,4,4,3,5,1,5,2,3,2,0,3
239.76,3,6,4,3,2,3,1,4,2,3,2,4,4
264.75,3,6,4,4,4,6,1,3,2,4,2,2,2
175.54,3,4,4,4,3,5,1,4,2,3,2,3,4
195.15,2,3,4,4,6,4,1,4,2,4,2,2,4
264.75,2,5,3,4,6,4,1,4,2,2,3,5,3
175.54,2,4,2,5,6,0,1,4,3,1,4,5,3
264.75,2,5,3,4,5,5,1,5,2,2,2,2,3
175.54,3,3,3,4,6,3,1,4,2,2,3,4,4
175.54,3,6,4,4,3,6,1,3,2,3,2,5,5
175.54,3,2,4,4,4,4,1,4,1,4,2,3,3
175.54,3,5,4,3,3,4,1,3,2,4,2,3,5
239.76,3,4,4,4,4,4,1,5,2,2,3,2,4
264.75,2,4,4,4,6,4,1,4,2,3,2,3,1
189.77,2,2,4,4,4,4,1,4,2,3,2,3,3
187.86,2,6,4,5,6,3,1,5,2,2,2,4,0
164.78,3,3,4,3,3,4,1,3,2,4,2,3,4
175.54,2,6,3,5,6,3,1,4,2,2,4,5,4
197.84,3,6,4,4,3,6,1,4,2,3,2,3,4
264.75,2,4,4,5,6,5,1,6,3,2,2,1,1
175.54,2,5,3,4,5,4,1,4,2,2,3,3,3
170.16,2,4,4,4,6,3,1,4,2,4,2,3,2
175.54,3,1,4,4,3,5,1,3,2,4,2,4,5
175.54,3,1,4,4,4,5,1,4,2,4,2,1,4
264.75,2,4,4,4,4,4,1,5,2,5,2,4,3
175.54,2,4,4,5,6,6,1,5,2,2,2,0,1
264.75,2,6,4,4,6,5,1,5,2,2,2,2,4
264.75,3,3,4,4,3,6,1,3,2,4,2,2,5
175.54,3,2,4,3,3,5,1,4,2,5,2,5,3
175.54,2,2,4,5,6,4,1,4,2,4,2,0,4
264.75,2,2,4,4,6,4,1,4,2,3,2,1,2
264.75,2,5,4,4,5,5,1,5,2,2,3,2,3
264.75,2,3,4,4,6,6,1,4,2,2,2,2,3
239.76,2,5,3,5,6,3,1,4,2,3,2,2,4
264.75,3,2,4,4,5,4,1,5,2,4,2,2,0
239.76,3,2,4,4,5,4,1,4,2,5,2,3,4
175.54,2,2,4,4,6,4,1,5,2,2,2,0,3
264.75,3,6,4,3,3,4,1,3,2,2,2,2,4
214.76,2,2,4,4,4,5,1,4,2,2,1,2,3
264.75,3,4,4,4,3,6,1,3,3,2,2,4,4
164.78,2,3,4,4,6,4,1,5,2,4,1,2,1
220.15,3,2,4,4,3,4,1,4,1,4,2,1,2
264.75,3,2,4,4,3,5,1,5,2,2,3,5,2
189.77,2,1,4,4,6,4,1,6,3,4,2,0,5
175.54,3,5,4,3,4,4,1,4,2,3,2,3,3
264.75,2,5,4,5,6,5,1,3,2,2,1,1,2
175.54,2,6,3,5,6,3,1,4,2,2,3,4,4
164.78,2,2,4,5,6,5,1,5,2,3,2,4,0
264.75,3,6,4,4,3,6,1,3,3,2,2,2,3
264.75,2,3,4,4,6,4,1,4,3,3,2,0,4
264.75,3,4,4,4,3,5,1,3,2,2,1,3,3
175.54,2,5,3,5,6,4,1,5,2,2,1,1,0
175.54,3,2,4,3,3,3,1,4,2,6,1,1,2
197.84,2,4,4,4,6,4,1,4,2,4,1,1,3
264.75,2,2,3,5,6,3,1,5,2,3,3,2,4
197.84,3,5,4,3,3,4,1,4,2,3,3,3,2
164.78,2,3,3,4,6,4,1,5,2,2,3,5,1
264.75,4,5,4,3,1,4,1,2,2,3,2,2,5
175.54,2,5,4,4,6,3,1,4,2,4,1,2,0
242.45,2,6,3,5,6,4,1,5,2,2,2,1,3
264.75,3,6,4,3,3,6,1,3,2,4,2,5,5
264.75,3,5,4,4,6,6,1,3,2,3,2,3,2
175.54,2,3,3,5,6,2,1,4,2,2,3,5,4
264.75,2,5,4,5,6,5,1,4,2,2,2,2,3
264.75,2,5,4,5,6,5,1,3,2,2,2,1,2
175.54,3,1,4,4,5,4,1,4,2,4,2,2,2
239.76,2,5,4,4,6,5,1,4,2,3,2,1,4
175.54,3,3,4,3,3,3,1,3,2,5,2,5,3
242.45,2,2,4,4,6,5,1,4,2,4,2,1,4
172.85,3,2,4,4,3,5,1,4,2,4,2,2,3
214.77,2,2,3,4,6,4,1,5,2,3,3,0,2
172.85,3,1,4,3,2,4,1,4,2,4,1,2,4
175.54,2,0,3,5,6,3,1,5,2,2,2,0,1
189.77,2,4,4,4,6,4,1,4,3,2,1,1,3
242.45,2,2,3,5,6,4,1,4,2,3,2,4,2
264.75,3,4,4,4,5,4,1,4,2,3,2,2,5
172.85,2,1,4,5,6,4,1,5,2,2,1,2,0
175.54,3,2,4,4,5,4,1,4,2,3,2,1,5
172.85,3,2,4,4,3,4,1,4,2,3,2,4,4
170.16,2,1,3,5,6,2,1,4,2,3,3,3,4
264.75,3,4,4,4,3,5,1,5,1,4,2,1,3
264.75,3,2,4,4,5,6,1,4,3,2,2,1,4
164.78,2,6,3,5,6,4,1,4,2,3,2,1,4
214.76,3,2,4,4,4,4,1,4,2,4,1,2,2
264.75,2,6,4,4,6,4,1,4,2,3,1,3,3
264.75,3,4,4,4,6,5,1,4,2,2,2,3,5
164.78,2,2,4,4,5,3,1,5,2,2,1,1,2
197.84,2,4,4,4,6,4,1,4,2,4,1,1,2
264.75,2,6,4,4,6,5,1,4,2,3,2,4,2
264.75,3,2,4,3,2,6,1,4,2,4,2,4,3
264.75,2,6,4,4,6,3,1,5,2,3,2,4,0
175.54,2,3,4,4,6,5,1,4,2,2,2,1,5
264.75,2,1,3,4,5,5,1,4,2,3,3,4,4
164.78,2,1,4,4,6,3,1,4,2,2,3,0,3
264.75,3,5,4,4,3,6,1,4,2,3,1,2,3
164.78,2,3,3,5,6,4,1,5,2,2,2,0,1
164.78,1,1,2,5,6,2,1,5,3,2,3,5,4
264.75,2,3,4,4,5,5,1,4,3,4,2,3,1
175.54,3,6,4,4,3,5,1,4,2,3,3,4,3
175.54,2,1,4,4,6,4,1,5,3,2,1,0,3
214.76,3,4,4,4,3,3,1,4,2,4,2,2,3
175.54,2,2,4,4,6,2,1,5,2,3,2,0,3
264.75,3,4,4,4,5,5,1,3,2,3,2,3,3
197.84,4,4,4,3,2,3,1,4,2,3,2,3,1
264.75,2,6,4,4,6,4,1,5,2,3,1,1,3
239.76,2,6,4,4,6,4,1,5,3,3,2,4,2
164.78,2,3,4,4,6,5,1,4,3,3,2,3,3
264.75,2,1,3,5,6,3,1,5,2,4,2,3,4
264.75,2,3,3,5,6,4,1,4,2,3,3,0,4
172.85,3,1,4,4,5,3,1,6,2,6,1,0,2
264.75,2,6,4,4,3,6,1,4,2,2,2,2,3
175.54,2,6,4,4,6,4,1,5,2,2,1,1,3
164.78,2,0,4,5,6,3,1,6,2,1,2,0,4
175.54,2,3,3,5,6,4,1,4,2,2,2,4,2
175.54,2,6,3,5,6,0,1,4,2,1,3,5,3
264.75,2,5,4,4,6,4,1,5,2,4,2,3,3
264.75,2,6,4,4,5,6,1,3,2,2,2,1,3
264.75,2,3,4,4,6,4,1,5,2,3,2,0,5
175.54,3,1,4,3,3,3,1,5,2,4,2,5,2
264.75,2,6,4,5,6,4,1,5,3,2,1,1,2
220.15,3,3,4,4,3,4,1,4,2,5,2,3,0
264.75,2,3,3,5,6,4,1,5,3,2,1,0,1
264.75,3,6,4,3,3,5,1,4,2,4,2,2,5
172.85,3,2,4,3,3,3,1,4,2,3,2,3,5
264.75,3,4,4,4,3,6,1,4,2,2,2,4,2
264.75,3,4,4,3,2,6,1,2,2,3,2,5,4
167.47,2,4,4,4,5,4,1,4,2,3,2,3,0
125.97,2,5,3,5,6,1,1,4,2,2,3,6,3
264.75,2,2,4,4,6,5,1,4,2,3,2,4,0
164.78,2,1,4,4,6,4,2,6,3,2,2,0,3
264.75,2,5,3,5,6,4,1,4,2,2,2,0,2
214.76,2,0,3,5,6,3,1,5,3,2,3,2,0
264.75,3,5,4,3,2,5,1,3,2,2,2,3,5
264.75,3,4,4,3,3,6,1,4,2,5,2,2,4
264.75,2,6,3,4,6,3,1,4,2,2,3,4,3
82.49,2,1,4,4,6,3,1,5,2,3,2,0,3
172.85,2,3,4,5,6,5,1,5,2,2,1,1,1
239.76,2,3,4,4,6,5,1,4,3,2,2,3,4
164.78,3,1,4,4,3,4,1,5,2,2,1,2,3
264.75,2,6,4,4,6,4,1,5,2,4,2,0,0
189.77,3,4,4,3,3,4,1,4,2,4,2,4,4
220.15,3,3,4,3,3,4,1,4,2,4,2,4,2
189.77,2,1,4,5,6,4,1,6,3,3,1,0,3
264.75,2,1,4,5,6,4,1,4,2,3,2,1,4
264.75,2,6,4,5,6,5,1,4,2,4,2,2,3
264.75,2,6,3,5,6,4,1,5,2,2,2,1,1
239.76,2,4,4,4,4,4,1,4,2,2,2,4,3
164.78,2,3,3,5,6,2,1,4,2,3,3,3,4
164.78,2,3,4,4,6,6,1,4,2,3,2,1,3
264.75,2,6,3,5,6,3,1,4,2,1,3,3,2
220.15,2,3,4,4,6,4,1,5,2,4,1,0,1
164.78,2,3,4,4,6,5,1,6,2,2,1,2,0
264.75,2,6,3,5,6,4,1,4,2,2,3,5,4
239.76,3,3,4,4,3,6,1,3,3,1,2,4,4
264.75,2,4,4,5,6,5,1,4,2,4,2,1,5
214.76,3,6,4,4,4,4,1,5,2,6,2,3,4
214.77,2,6,3,4,3,4,1,4,2,2,2,4,2
264.75,2,3,3,5,6,4,1,5,2,2,2,1,1
175.54,3,0,4,3,3,3,1,5,2,5,2,0,1
264.75,2,6,4,4,6,6,1,3,3,2,2,2,3
264.75,2,3,3,5,6,4,1,4,2,2,3,4,3
189.77,3,4,4,4,3,4,1,5,2,5,2,3,4
197.84,3,4,4,4,4,4,1,4,2,2,2,1,2
242.45,3,2,4,4,4,4,1,4,2,4,2,2,4
164.78,3,4,4,4,4,5,1,4,2,3,2,3,3
189.77,2,4,4,4,5,5,1,6,2,5,2,1,5
264.75,2,2,4,4,6,5,1,4,2,3,1,2,4
214.77,2,3,4,4,6,5,1,4,2,3,1,2,1
189.77,3,3,4,4,3,5,1,4,2,5,2,2,4
264.75,3,6,4,3,2,6,1,3,2,3,3,5,3
264.75,3,3,4,4,3,6,1,4,2,2,2,3,2
214.76,2,1,3,5,6,4,1,5,3,2,2,2,4
175.54,3,4,4,4,5,6,1,4,2,4,2,4,1
175.54,3,5,4,4,3,4,1,5,2,2,2,2,1
264.75,2,3,3,5,6,4,1,5,2,2,2,4,0
172.85,2,5,3,5,6,4,1,4,2,3,2,3,0
264.75,3,6,4,4,4,6,1,4,2,4,2,1,4
172.85,3,3,4,4,4,4,1,5,2,5,1,1,4
264.75,2,4,3,5,6,5,1,4,2,3,3,3,3
164.78,2,4,3,4,6,4,1,5,2,2,2,5,0
264.75,2,5,4,4,6,6,1,4,2,2,2,1,1
169.98,2,4,3,5,6,4,1,5,2,2,3,0,1
264.75,2,5,4,4,4,5,1,4,2,4,2,3,3
225.6,2,4,3,5,6,3,1,4,2,2,3,3,3
264.75,2,2,4,4,6,5,1,4,2,2,2,2,4
239.76,3,5,4,4,3,5,1,4,3,4,2,4,2
264.75,3,1,4,4,3,5,1,4,2,3,2,3,3
264.75,2,6,4,4,6,5,1,4,2,2,2,3,4
239.76,2,3,4,4,6,5,1,5,2,2,1,0,2
164.78,2,1,4,4,6,5,1,5,2,3,2,2,4
214.76,2,6,4,4,5,4,1,4,2,2,2,2,3
197.84,3,6,4,4,3,5,1,4,2,2,2,3,4
175.54,2,4,2,5,6,0,1,4,2,1,3,5,3
175.54,3,5,4,3,3,4,1,4,2,5,2,1,0
264.75,3,5,4,3,3,5,1,3,3,3,2,1,5
214.77,3,3,4,4,4,5,1,4,2,3,1,1,2
264.75,2,3,4,4,6,4,1,4,2,2,2,1,2
214.77,3,1,4,3,3,3,1,4,2,4,2,4,1
175.54,2,6,3,5,6,4,1,5,2,2,2,2,2
264.75,3,6,4,4,3,5,1,3,2,5,2,3,3
239.76,2,2,4,4,6,5,1,4,2,2,2,0,3
242.45,3,4,3,4,6,4,1,4,2,2,3,5,4
264.75,3,6,4,4,3,5,1,4,2,2,2,3,4
197.84,3,6,4,3,2,4,1,4,2,3,1,3,4
264.75,2,2,4,4,6,5,1,4,2,2,2,2,3
220.15,2,2,3,5,6,2,1,3,2,2,4,5,4
197.84,2,6,3,5,6,4,1,5,2,2,1,2,3
239.76,2,1,4,5,6,3,1,5,2,3,2,1,3
175.54,3,2,4,3,3,4,1,4,2,5,2,4,3
164.78,2,1,4,4,5,5,1,5,2,4,2,3,3
170.16,3,2,4,4,3,3,1,4,2,6,2,3,0
239.76,2,4,3,5,6,5,1,5,2,3,2,2,3
175.54,2,5,3,4,6,3,1,5,2,2,3,1,3
172.85,3,2,4,3,3,4,1,5,2,5,2,0,4
264.75,2,6,3,4,6,4,1,5,2,2,2,4,2
264.75,3,2,4,4,3,4,1,5,2,4,2,3,3
214.76,3,3,4,3,3,3,1,5,2,6,1,1,3
264.75,2,2,4,5,6,5,1,4,2,2,2,1,3
264.75,3,4,4,4,4,6,1,3,2,3,2,3,5
264.75,3,5,4,3,3,6,1,2,2,3,2,3,5
175.54,3,4,4,3,2,4,1,4,2,2,1,3,4
189.77,2,4,4,4,5,4,1,5,2,2,2,1,3
264.75,5,4,4,2,1,6,1,2,2,3,2,3,5
175.54,2,5,3,5,6,0,1,4,2,1,3,0,4
264.75,3,6,4,3,3,6,1,3,2,3,2,5,5
167.47,2,6,3,5,6,3,1,4,3,2,3,4,3
264.75,3,3,4,4,3,6,1,3,2,2,3,5,3
164.78,2,1,4,5,6,4,1,6,3,3,1,0,1
264.75,2,6,4,3,5,5,1,4,2,3,2,2,3
264.75,3,6,4,4,2,4,1,4,2,2,2,3,4
170.16,3,4,4,3,5,4,1,4,2,5,2,4,2
242.45,2,5,4,4,6,4,1,4,2,4,2,1,5
220.15,3,4,4,3,3,5,1,3,2,4,2,4,5
264.75,3,5,4,4,3,6,1,3,2,3,2,5,3
175.54,1,4,4,5,6,3,1,5,2,2,2,4,0
164.78,3,2,4,3,3,3,1,4,2,5,2,2,4
175.54,4,2,4,3,1,3,1,2,2,4,2,4,3
175.54,2,4,4,4,6,5,1,4,2,3,2,2,5
175.54,1,6,3,5,6,2,1,4,2,1,3,2,3
264.75,3,6,4,3,3,5,1,3,2,3,2,3,4
264.75,2,2,4,5,6,5,1,5,3,3,2,2,2
164.78,2,1,4,5,6,3,1,4,3,4,2,2,4
264.75,2,1,4,4,6,6,1,4,1,2,2,0,3
239.76,3,4,4,4,4,6,1,3,2,2,2,4,4
264.75,2,5,4,5,6,6,1,4,2,4,1,1,1
164.78,3,1,4,3,3,4,1,4,2,5,2,0,0
175.54,2,1,4,5,6,4,1,6,3,2,2,1,0
175.54,2,5,4,4,6,6,1,4,2,2,2,1,4
264.75,4,4,4,3,2,6,1,3,2,3,2,3,5
264.75,2,4,4,4,6,4,1,4,2,5,2,4,1
264.75,2,6,4,4,4,6,1,4,2,4,3,4,2
264.75,3,5,4,4,4,4,1,4,2,2,2,5,2
264.75,2,2,4,4,6,4,1,5,2,4,1,2,2
220.15,3,1,4,3,3,4,1,4,2,4,2,3,2
264.75,3,5,4,3,3,3,1,4,2,4,2,4,2
175.54,4,3,4,3,2,5,1,3,2,4,2,1,2
175.54,4,4,4,3,1,4,1,2,2,4,2,3,3
164.78,2,2,3,5,6,4,1,5,3,2,1,0,1
264.75,2,4,3,5,6,4,1,4,2,2,3,2,2
264.75,3,6,4,4,4,5,1,4,2,3,2,2,5
175.54,2,3,4,5,6,5,1,5,3,2,1,1,2
164.78,2,0,4,5,6,3,1,6,2,3,1,0,3
55.06,2,0,4,5,6,3,1,6,3,3,1,1,0
174.13,1,5,4,5,6,0,1,5,2,1,2,0,3
264.75,3,6,4,4,3,5,1,4,2,3,2,2,4
164.78,2,0,4,5,6,4,1,4,2,2,1,2,0
239.76,2,1,3,5,6,3,1,5,2,3,2,2,2
264.75,3,4,4,3,2,5,1,2,2,3,2,2,4
264.75,3,5,4,3,3,6,1,3,2,4,2,3,4
264.75,2,5,4,5,6,5,1,3,2,2,1,2,3
264.75,3,6,4,4,3,6,1,3,2,2,3,1,3
264.75,3,5,4,4,5,6,1,3,2,3,2,3,5
264.75,2,1,3,5,6,3,1,5,3,4,2,0,4
164.78,2,5,3,4,4,5,1,4,2,2,3,2,3
214.76,2,1,4,4,6,4,1,6,3,3,1,1,2
197.84,3,1,4,3,2,4,1,4,2,4,2,0,3
175.54,2,4,2,5,6,2,1,4,2,2,3,5,4
264.75,3,6,4,4,3,4,1,5,2,3,3,4,3
264.75,2,6,4,4,6,5,1,4,3,2,2,4,4
264.75,2,4,3,5,6,4,1,4,2,2,3,4,3
175.54,2,6,3,5,6,3,1,5,2,2,2,1,1
197.84,3,3,4,4,3,4,1,4,2,4,2,3,2
264.75,4,4,4,3,2,6,1,2,2,4,2,4,4
197.84,2,6,3,5,6,4,1,4,2,3,2,1,3
175.54,2,2,3,5,6,2,1,4,3,3,3,3,3
264.75,2,0,3,5,6,3,1,4,2,2,3,5,4
170.16,2,3,3,5,6,4,1,5,2,2,1,1,1
175.54,1,5,4,5,6,0,1,5,2,1,1,3,0
175.54,2,6,3,5,6,2,1,5,2,2,2,1,0
164.78,2,3,4,4,6,4,1,5,2,5,2,1,5
175.54,1,6,3,5,6,0,1,4,2,1,3,3,3
264.75,2,3,4,4,6,5,1,4,2,2,2,1,3
214.77,3,3,4,4,5,6,1,4,2,3,2,3,5
264.75,3,3,4,4,5,5,1,5,2,2,2,1,4
170.04,2,5,3,5,6,0,1,4,2,2,2,0,1
189.77,3,2,4,3,3,5,1,4,1,4,2,1,5
175.54,1,6,4,5,6,3,1,5,2,1,3,0,2
175.54,2,6,4,5,6,4,1,5,2,2,2,0,3
264.75,2,1,4,4,6,5,1,4,2,2,1,3,1
264.75,2,4,4,4,6,6,1,4,2,2,2,1,3
214.77,2,1,4,5,6,5,1,5,2,3,2,0,5
164.78,2,0,4,5,6,3,1,6,3,2,2,0,0
264.75,2,4,3,4,5,5,1,4,2,2,3,4,4
189.77,2,0,4,5,6,3,1,6,3,3,2,0,3
82.49,2,0,4,5,6,3,1,6,2,1,2,0,3
189.77,3,1,4,3,3,3,1,4,2,4,2,1,5
239.76,2,1,4,4,6,5,1,5,2,2,2,2,4
264.75,3,3,4,4,6,6,1,3,2,2,2,2,3
239.76,2,5,4,4,6,5,1,5,2,3,1,3,2
242.45,3,4,4,3,3,4,1,3,2,3,2,4,3
264.75,3,4,4,3,3,6,1,3,3,3,2,2,4
264.75,3,6,4,3,2,5,1,4,2,2,2,5,2
18.48,2,6,3,5,6,3,1,4,2,2,3,3,3
239.76,3,3,4,3,3,6,1,4,2,3,2,3,5
264.75,3,5,4,4,6,4,1,4,2,3,1,3,0
167.47,3,3,4,4,3,3,1,4,2,4,2,2,4
264.75,3,3,4,3,3,4,1,4,2,3,1,3,3
264.75,2,1,4,4,6,4,1,5,2,5,2,4,3
164.78,2,2,4,5,6,4,1,5,2,4,2,0,4
164.78,2,0,4,5,6,4,1,6,3,3,2,1,0
170.16,2,3,4,4,6,4,1,4,3,3,2,1,2
264.75,2,6,4,5,6,4,1,5,2,5,2,3,0
242.45,2,3,4,5,6,4,1,4,3,2,3,3,3
18.48,2,0,4,5,6,2,6,6,3,2,1,0,0
264.75,2,3,4,4,6,5,1,4,2,2,2,3,2
264.75,3,3,4,4,5,5,1,4,2,3,3,2,4
242.45,2,2,3,5,6,3,1,4,3,2,3,4,4
164.78,3,1,4,3,3,3,1,5,2,6,1,0,4
264.75,3,6,4,4,4,6,1,4,2,2,3,2,4
264.75,2,4,4,4,6,5,1,4,3,2,2,3,4
175.54,1,4,3,5,6,3,1,5,2,2,2,5,3
264.75,3,4,4,3,3,4,1,4,3,3,2,4,2
164.78,2,2,4,5,6,5,1,5,2,3,2,3,0
264.75,2,6,4,4,5,5,1,5,2,2,1,1,2
264.75,3,4,4,4,4,4,1,5,2,4,2,4,0
175.54,1,4,4,5,6,0,1,5,2,1,3,0,3
175.54,3,5,4,4,4,6,1,4,2,2,2,2,3
264.75,2,5,4,4,6,6,1,4,2,3,2,3,4
192.46,2,3,4,4,6,4,1,5,2,5,2,3,2
264.75,3,5,4,4,3,5,1,4,2,4,1,2,3
264.75,3,6,4,3,3,6,1,3,2,4,2,5,4
164.78,1,1,3,5,6,0,1,5,2,1,2,0,0
264.75,3,4,4,3,3,6,1,3,2,4,2,4,4
264.75,2,3,4,4,6,4,1,4,2,2,2,4,4
264.75,3,4,4,3,2,6,1,4,2,5,2,2,2
164.78,3,1,4,3,2,3,1,3,2,5,2,2,3
172.85,2,1,3,5,6,4,1,5,2,2,2,0,0
239.76,2,2,4,4,6,5,1,5,3,3,2,4,0
164.78,2,0,4,5,6,4,1,6,2,2,1,1,0
189.77,2,4,4,4,5,4,1,4,2,3,2,3,2
175.54,2,5,3,5,6,3,1,5,2,2,3,0,2
164.78,2,0,4,5,6,3,1,6,2,1,1,0,0
264.75,2,1,4,4,6,5,1,4,2,3,2,3,5
264.75,2,1,4,4,6,5,1,4,2,2,2,3,4
264.75,2,1,4,4,6,4,1,5,3,1,2,1,3
164.78,2,4,4,4,6,5,1,5,3,2,2,2,3
251.73,1,5,3,5,6,4,1,6,3,2,2,1,0
189.77,2,6,4,4,5,5,1,3,3,4,3,4,4
175.54,2,2,4,4,6,3,1,4,2,3,2,1,3
214.77,2,5,4,4,6,5,1,4,2,2,2,0,4
264.75,2,6,4,5,6,5,1,4,2,2,3,2,0
175.54,3,2,4,3,2,4,1,5,2,6,2,1,3
264.75,3,6,4,3,3,6,1,3,2,2,2,2,5
264.75,2,6,4,4,5,6,1,4,2,2,1,2,0
264.75,2,5,4,4,5,6,1,3,2,2,2,2,5
264.75,3,4,3,4,3,6,1,4,2,2,3,3,3
164.78,2,0,3,5,6,3,1,5,3,2,3,2,3
175.54,2,6,4,5,6,4,1,6,2,2,3,0,3
264.75,3,4,4,4,3,4,1,4,2,3,2,4,2
189.77,2,1,3,5,6,3,1,5,3,3,3,0,1
239.76,3,2,3,4,6,4,1,4,2,2,3,6,3
175.54,2,2,3,5,6,2,1,4,2,2,4,4,3
264.75,2,6,3,5,6,4,1,5,2,2,2,1,0
239.76,2,5,4,4,6,4,1,4,3,2,2,3,3
239.76,2,2,4,4,6,5,1,6,3,4,2,2,5
264.75,2,1,4,5,6,4,1,6,3,3,1,1,2
264.75,3,6,4,3,2,6,1,2,2,5,2,4,4
242.45,2,2,4,4,6,5,1,5,2,4,2,0,4
239.76,2,4,4,4,6,3,1,5,2,5,2,4,1
220.15,2,3,4,4,6,5,1,6,3,3,1,0,0
197.84,2,3,4,4,6,6,1,4,2,3,1,2,3
175.54,2,3,4,5,6,5,1,4,2,3,2,4,1
264.75,3,5,4,4,3,5,1,4,2,3,2,4,3
176.0,2,6,3,5,6,3,1,4,3,2,3,1,4
264.75,2,3,4,4,6,4,1,4,3,3,1,1,3
175.54,1,5,3,5,6,4,1,6,2,2,1,0,1
214.76,2,4,4,4,5,5,1,5,3,3,2,4,2
264.75,2,4,4,4,5,6,1,4,2,3,2,4,2
164.78,2,1,3,5,6,4,1,4,3,2,2,3,4
264.75,3,4,4,4,3,5,1,4,2,4,2,4,0
264.75,2,5,4,4,4,4,1,4,2,3,1,3,3
239.76,2,0,4,5,6,4,1,6,2,3,1,0,1
164.78,2,6,3,5,6,3,1,5,2,2,2,1,0
264.75,2,5,4,5,6,5,1,6,2,2,1,1,1
175.54,3,2,4,3,3,4,1,4,2,6,1,0,3
175.54,2,2,3,5,6,3,1,6,3,1,1,0,0
164.78,2,1,4,4,6,3,1,5,2,6,2,3,3
264.75,4,2,4,3,2,4,1,2,2,4,2,3,4
172.85,2,4,4,4,6,4,1,5,2,3,2,1,4
167.47,2,2,4,5,6,3,1,6,2,1,1,0,4
164.78,2,0,4,4,6,4,1,6,3,2,1,0,0
214.76,2,1,4,4,6,5,1,5,2,3,2,3,0
164.78,3,1,4,4,3,4,1,4,1,5,2,1,5
220.15,3,4,4,4,4,5,1,4,2,3,2,1,5
175.54,3,1,4,3,2,4,1,3,2,4,2,4,2
214.77,2,4,4,5,6,4,1,5,2,3,2,4,4
264.75,2,6,4,4,6,5,1,4,2,4,2,3,5
175.54,2,4,4,4,6,3,1,5,2,5,2,3,2
164.78,3,2,4,3,3,4,1,4,2,4,2,2,5
264.75,3,2,4,3,3,3,1,4,2,5,2,0,2
264.75,2,1,4,4,6,4,1,5,3,2,1,2,0
175.54,2,5,2,5,6,2,1,5,2,2,3,5,5
214.77,3,1,4,4,6,5,1,4,2,2,2,2,2
264.75,3,2,4,3,3,4,1,4,2,3,2,2,5
170.16,3,1,4,4,4,4,1,4,2,5,1,1,3
264.75,3,6,4,4,3,4,1,5,2,2,3,6,1
168.97,1,4,4,5,6,3,1,5,2,1,1,2,0
264.75,2,3,4,4,6,6,1,4,2,3,2,0,4
175.54,2,4,4,4,6,3,1,4,3,2,2,2,0
264.75,2,3,3,4,6,4,1,4,2,2,3,3,1
167.47,3,2,4,4,4,3,1,4,2,3,2,2,5
264.75,3,5,4,4,3,6,1,4,2,2,2,3,4
175.54,2,6,3,5,6,2,1,4,2,2,3,5,3
175.54,2,5,3,4,6,4,1,5,2,3,3,4,0
264.75,2,6,3,4,6,4,1,5,2,3,1,1,3
189.77,2,2,4,4,6,4,1,4,2,2,2,4,4
175.54,4,2,4,3,2,5,1,3,2,4,2,4,5
214.77,2,6,4,4,4,5,1,5,2,3,2,0,4
264.75,3,4,4,4,3,4,1,3,2,3,2,4,4
125.97,2,0,4,5,6,3,1,6,3,1,2,0,0
189.77,3,2,4,4,4,4,1,4,2,5,2,2,4
264.75,3,4,4,3,3,5,1,4,2,5,2,3,2
264.75,3,5,4,4,5,6,1,4,2,2,2,2,3
264.75,3,2,4,4,4,4,2,4,2,2,2,3,5
214.76,2,3,4,4,6,5,1,4,2,3,1,2,2
214.76,3,4,4,4,4,3,1,5,2,4,2,4,2
175.54,2,6,4,5,6,4,1,4,2,1,2,0,2
175.54,2,4,4,4,6,4,1,6,3,2,2,0,3
175.54,2,4,4,5,6,3,1,6,2,3,1,0,0
264.75,3,2,4,3,3,6,1,3,2,5,1,2,4
214.76,2,1,4,5,6,3,1,4,3,4,2,2,5
164.78,3,3,4,4,3,5,1,4,2,3,1,2,2
264.75,2,2,4,4,5,5,1,5,2,3,2,3,2
264.75,3,3,4,4,3,6,1,3,2,2,2,3,4
264.75,3,2,4,4,3,5,1,5,2,3,2,2,4
214.76,2,2,4,4,5,6,1,4,2,3,2,1,5
164.78,2,3,4,4,5,3,1,4,2,6,2,3,3
172.85,2,1,4,4,4,4,1,4,2,4,2,0,5
264.75,2,3,4,4,6,6,1,5,3,2,1,0,2
264.75,2,1,4,4,6,4,1,4,2,5,2,0,5
264.75,3,6,4,3,2,6,1,3,2,2,2,3,4
264.75,3,5,4,4,3,6,1,3,2,3,3,4,5
264.75,2,3,4,4,6,5,1,5,3,3,2,1,1
264.75,2,4,4,5,6,4,1,4,2,4,2,1,4
175.54,3,5,4,4,3,6,1,4,2,4,3,4,3
164.78,2,2,4,4,5,5,1,4,2,2,2,1,4
264.75,2,5,4,4,6,5,1,4,2,3,2,1,4
164.78,2,5,4,4,3,4,1,4,2,4,2,4,4
167.47,2,4,4,4,4,4,1,4,2,3,2,3,4
264.75,3,2,4,4,3,6,1,4,2,3,2,3,4
264.75,2,3,3,4,6,4,1,4,2,2,2,1,2
