CS,ELE_qt7,SL_qt7,AMP_gmt7,AMT_jnb7,AME_qt7,NDVI_qt7,NL_std6,POP_std6,GDP_qt7,DTW_std6,DTG_qt7,DTH_qt7,DTC_qt7
214.77,2,5,4,6,6,5,1,1,4,4,5,6,1
175.54,2,3,3,6,6,2,1,1,4,2,3,1,2
220.15,3,5,4,4,4,6,1,1,4,4,2,3,5
264.75,3,6,4,4,6,4,1,1,3,2,1,1,0
264.75,2,5,4,6,6,6,1,1,5,2,1,1,1
167.47,3,4,4,4,6,4,1,1,3,3,1,0,4
264.75,2,5,4,6,6,3,1,1,4,2,0,0,1
18.48,2,2,3,6,6,1,3,2,5,1,0,0,0
214.77,2,3,4,6,6,2,1,1,4,2,0,1,2
197.84,3,3,4,4,6,4,1,1,3,6,3,3,5
264.75,3,4,4,3,3,4,1,1,3,3,5,3,6
264.75,2,5,4,5,6,5,1,1,4,2,4,2,5
264.75,2,4,5,5,6,4,1,1,5,2,0,2,3
264.75,2,5,4,6,6,4,1,1,3,2,5,2,3
264.75,3,3,3,4,4,6,1,1,3,5,2,1,3
164.78,2,1,3,6,6,2,2,2,5,1,1,0,0
189.77,2,1,3,6,6,2,1,2,5,2,2,0,0
264.75,2,6,4,6,6,5,1,1,4,3,5,6,1
264.75,3,3,5,4,3,4,1,1,4,3,4,3,3
264.75,3,2,3,4,6,0,1,1,3,3,6,6,3
141.62,2,4,4,6,6,0,1,1,4,2,1,1,1
264.75,3,2,4,4,6,0,1,1,3,6,4,4,4
264.75,4,4,4,3,2,6,1,1,3,3,3,0,5
242.45,2,5,4,6,6,6,1,1,4,3,4,6,1
264.75,2,3,3,6,6,2,2,1,5,2,0,0,1
264.75,3,4,4,4,4,5,1,1,3,4,4,3,6
239.76,3,5,4,4,5,4,1,1,3,2,2,5,6
249.13,2,6,3,6,6,0,1,1,4,1,2,3,1
189.77,2,4,4,6,6,2,1,1,5,2,3,0,4
197.84,4,5,4,3,3,3,1,1,3,3,4,5,6
264.75,2,6,4,5,6,3,1,1,3,2,1,0,2
175.54,3,0,4,3,3,2,1,1,3,3,3,4,5
264.75,3,3,4,4,3,6,1,1,3,4,3,4,3
175.54,2,1,4,6,6,2,1,1,5,3,1,3,0
175.54,2,2,3,6,6,2,1,1,5,2,2,0,0
214.77,3,3,4,5,6,6,1,1,5,3,2,1,4
264.75,3,3,4,4,3,6,1,1,3,2,5,2,5
264.75,2,1,4,5,6,0,1,1,4,2,3,3,0
175.54,2,6,3,6,6,0,1,1,5,1,2,1,2
175.54,2,6,4,5,6,6,1,1,4,4,2,4,5
264.75,2,3,4,5,6,5,1,1,5,3,2,4,1
264.75,2,5,4,6,6,4,1,1,5,2,3,5,1
264.75,2,2,4,5,6,5,1,1,4,3,3,1,4
175.54,3,2,4,4,6,3,1,1,3,5,4,2,4
264.75,3,1,4,5,6,4,1,1,4,2,4,2,3
189.77,3,4,4,4,5,4,1,1,3,4,4,0,6
170.16,2,5,4,5,6,2,1,1,3,1,0,1,3
164.78,2,2,4,6,6,4,1,1,5,2,1,1,5
264.75,2,4,4,6,6,4,1,1,3,2,4,1,5
214.76,2,2,4,6,6,4,1,1,5,2,3,1,2
175.54,2,4,4,6,6,2,1,1,6,2,0,1,2
172.85,2,2,3,6,6,1,1,1,4,2,4,4,3
264.75,4,5,4,3,3,5,1,1,3,3,3,2,6
172.85,2,1,4,6,6,1,4,5,6,1,0,0,0
170.16,3,4,3,5,6,4,1,1,3,2,4,5,1
197.84,3,3,4,4,3,3,1,1,3,3,4,1,5
132.47,2,1,4,6,6,2,2,1,4,2,1,0,2
175.54,3,2,4,4,5,3,1,1,3,2,0,2,3
189.77,2,2,4,6,6,3,1,2,4,2,5,6,0
264.75,3,5,4,4,3,6,1,1,3,4,4,4,6
175.54,2,4,5,6,6,2,1,1,3,2,4,0,2
264.75,2,4,5,5,6,6,1,1,5,2,1,1,4
264.75,2,4,4,6,6,3,1,1,4,3,5,6,1
264.75,3,5,4,4,3,6,1,1,3,3,4,3,6
264.75,2,1,4,5,6,5,1,1,4,2,3,1,2
167.47,2,0,3,6,6,0,1,1,4,2,5,4,3
164.78,3,0,4,5,6,2,1,2,4,2,0,0,2
264.75,3,5,4,4,3,6,1,1,5,2,3,4,2
