CS,DEM,SL,AMP,AMT,AME,NDVI,NL,POP,GDP
70.40 ,1502.13 ,12.41 ,777.0645955,18.62534777,1249.020833,7202.056204,0.005364583,0.334642609,1057.35321
68.59 ,1572.79 ,13.52 ,779.2604167,18.36788177,1233.833333,6890.49722,0,0.439175884,1057.864115
66.97 ,1656.81 ,13.10 ,796.2770793,17.98038228,1207.125,7044.108278,0,0.436573327,1065.812317
29.09 ,1550.90 ,11.19 ,790.1937663,18.92881902,1290.375,6459.737459,0,0.799662133,1255.116638
55.66 ,1488.41 ,17.11 ,781.7041626,19.53211784,1302.625,6776.934385,0,0.547938069,1098.007182
51.92 ,1411.81 ,19.72 ,778.4854329,19.49635442,1347.125,6220.207964,0,0.737064024,418.795283
35.34 ,1869.56 ,9.41 ,832.5979411,16.70225652,1225.604167,5934.977462,0.030312498,1.627997319,246.7321091
49.73 ,1910.97 ,13.37 ,849.9375203,16.26631864,1196.3125,6843.562478,0,0.678506076,244.0298615
61.60 ,1857.60 ,14.74 ,846.0333252,16.65173658,1203.125,6650.006765,0.011145834,0.403788318,241.5145531
59.07 ,1673.18 ,18.14 ,822.8666992,17.72204844,1233.375,6572.015206,0,0.461880088,218.4086126
57.09 ,1715.36 ,18.41 ,823.1749878,17.53263919,1265.5,6936.350425,0,0.644339979,223.9762065
64.97 ,1842.25 ,10.96 ,846.7833455,16.82795207,1228.166667,6622.0489,0,0.658176124,221.0549952
63.15 ,1784.60 ,10.54 ,846.6645915,16.95520846,1254.125,6493.115569,0,0.709048053,220.4914703
59.76 ,1797.04 ,7.82 ,855.0250244,16.74479167,1252.270833,6308.21111,0.035208335,1.206099729,227.5417404
61.35 ,1898.63 ,10.47 ,867.3749797,16.13281314,1212.6875,6219.257392,0.011249999,1.841895938,230.3008016
52.74 ,1877.61 ,10.85 ,866.7583008,16.17656231,1189.6875,6229.972525,0.012864583,1.388493697,233.9586474
55.74 ,2003.66 ,17.22 ,869.1728923,15.41215229,1131.083333,6872.481505,0,0.556353947,227.0858434
67.22 ,2168.49 ,22.05 ,880.6770833,14.49062475,1084.9375,7442.286148,0,0.282629917,213.3614273
67.30 ,2120.48 ,23.37 ,874.6062419,15.11510404,1101.5625,7244.267385,0,0.276198139,221.8442701
49.00 ,1927.95 ,18.97 ,859.7875163,16.13125006,1135.395833,6814.465675,0,0.531435937,226.2567228
51.22 ,2185.77 ,21.44 ,867.2354126,14.21649297,1114.229167,7574.532666,0,1.339867314,231.1292267
68.22 ,2801.74 ,18.99 ,911.2354126,10.63906256,974.9375,7548.986945,0,0.771921615,205.8232702
65.20 ,2595.24 ,23.03 ,910.9291585,10.96597163,941.3333333,7662.341399,0.032864583,0.952516536,216.0587095
57.97 ,2667.69 ,26.44 ,912.2083537,11.08454863,939.5625,7212.632465,0,0.598252912,227.168958
74.29 ,2322.54 ,32.79 ,882.0937297,13.55468718,991.5833333,7796.140594,0,0.381165425,197.710818
45.60 ,1842.55 ,31.38 ,803.4562581,16.45434062,1196.270833,6550.524884,0,0.525736292,224.2769915
63.18 ,1989.81 ,28.53 ,821.3875122,15.57256953,1154.875,6811.00548,0,0.441942145,208.8429286
76.16 ,1902.54 ,17.56 ,826.6125081,15.9411459,1095.354167,7886.191037,0,0.085891279,985.3328247
76.35 ,2008.72 ,21.17 ,831.8770752,16.13298543,1103.5625,8125.58338,0,0.09277526,994.8938599
78.41 ,1558.32 ,15.79 ,787.8250122,18.58524386,1228.791667,7574.249332,0,0.208697478,1048.970703
74.89 ,1541.66 ,15.48 ,785.5083211,18.72065926,1269.770833,7432.467549,0,0.19191279,1039.07899
71.39 ,1635.31 ,14.00 ,801.8937581,18.45399284,1248.5625,6912.358284,0,0.374197533,1070.812174
51.55 ,1415.04 ,10.55 ,777.7729085,19.86371549,1347.479167,6529.411617,0,0.664422989,1205.059102
41.52 ,1344.97 ,15.99 ,771.6771037,20.41267331,1360.166667,6658.856657,0,0.678044001,1135.382273
49.13 ,1311.74 ,19.33 ,775.354187,20.1661466,1365.75,6304.228239,0.017154482,0.893377642,604.3305613
61.83 ,1838.57 ,13.10 ,837.6895955,16.90434011,1225.5625,6449.420788,0.248187313,0.811402142,237.762928
64.98 ,1984.79 ,14.62 ,860.6771037,15.88159752,1160.6875,6857.106928,0,0.682511528,221.572581
59.71 ,1908.92 ,11.99 ,866.3250326,16.16250006,1165,6811.338327,0,0.795947413,226.5991999
69.99 ,1804.84 ,16.73 ,852.8666382,16.77291616,1167.666667,6767.146525,0,0.585129281,207.5770531
70.07 ,1666.13 ,17.94 ,831.6999919,17.59149361,1228.729167,6800.91604,0,0.838476022,212.1902949
52.84 ,1720.70 ,8.80 ,845.9583333,17.44461886,1262.979167,6308.640501,0,1.036449432,233.4562378
57.74 ,1647.82 ,12.89 ,840.2562866,17.62222226,1300.520833,6568.421029,0,0.818050265,229.3665441
64.12 ,1707.38 ,9.93 ,848.8083089,17.15763855,1286.458333,6457.404837,0,0.748974164,225.8946431
69.34 ,1772.88 ,6.98 ,861.4770508,16.65503502,1239.541667,6518.451203,0,1.116537233,213.7967962
71.41 ,1869.77 ,8.45 ,875.4708252,16.05920219,1171.604167,6674.706913,0,0.961139421,217.7364845
73.29 ,2126.31 ,18.86 ,884.6749878,14.7878472,1103.4375,7207.444956,0,0.487090151,214.2451528
78.02 ,2412.45 ,23.04 ,903.8291219,13.25850677,1057.166667,7691.167284,0,0.268559525,205.0363235
61.33 ,2507.15 ,17.66 ,913.8416545,12.75868034,1027.395833,7125.795073,0.035249323,0.457256685,226.4783045
60.08 ,2065.03 ,15.79 ,897.2041219,15.02638944,1087.395833,6565.367879,0,0.82377702,222.1870168
61.42 ,1723.87 ,15.82 ,849.8812459,17.13350677,1206.479167,6439.678207,0,0.716079175,209.6850726
27.60 ,1287.47 ,20.26 ,777.5062256,19.24496524,1325.8125,6845.322789,0,0.898984492,242.1651395
34.40 ,1976.57 ,20.11 ,852.1583455,15.48871581,1167.145833,7565.18653,0,1.012230714,243.5783259
49.48 ,2658.86 ,21.24 ,900.43337,11.89288203,1027.25,7069.057345,0,0.811243892,225.8737742
74.95 ,2626.76 ,20.42 ,907.0187378,10.84201368,957.0208333,7965.438145,0.035366679,0.580669334,206.5220744
73.49 ,2605.02 ,22.00 ,914.7166748,10.51770846,926.7083333,8176.082127,0,0.746153891,208.8578402
75.92 ,2880.95 ,24.21 ,932.78538,9.021354357,871.5833333,8043.551453,0,0.340649913,196.6467857
76.60 ,2735.69 ,26.55 ,923.0208537,10.65625032,919.8333333,8250.609119,0,0.222283815,201.143364
72.98 ,2106.13 ,32.21 ,874.5374756,14.00972207,1031.541667,7696.469944,0,0.41471988,198.7189941
71.76 ,2425.40 ,30.37 ,889.1333415,12.77847258,1019.229167,7420.864007,0,0.323495756,209.9898529
79.11 ,1918.65 ,30.10 ,834.9041341,15.47031244,1064.041667,7510.050809,0,0.392211477,200.8089498
68.27 ,1676.27 ,15.40 ,811.2979126,17.25798543,1144.041667,7290.793902,0,0.173165048,1106.230408
78.06 ,1681.22 ,13.80 ,805.4874674,17.84513855,1183,7558.969491,0,0.136934631,1037.76887
58.74 ,1426.21 ,15.12 ,784.0333049,19.30104129,1267.895833,6978.259642,0.015338543,0.511090676,1107.55425
68.75 ,1480.11 ,15.47 ,786.5583293,19.2682298,1323.625,6891.328434,0.013281251,0.488838047,1084.766632
58.33 ,1394.43 ,10.91 ,781.8395793,19.90191078,1333.625,6617.808582,0,0.362708251,1147.840139
33.35 ,1206.97 ,9.93 ,768.4145711,20.92170143,1382.041667,6457.181929,0.020442708,0.788930436,1171.341258
48.65 ,1309.63 ,17.93 ,778.3125203,20.46614583,1359.0625,6338.530575,0,0.486513346,1039.383453
48.05 ,1253.85 ,22.48 ,774.1541545,20.4295133,1381.833333,6587.471366,0,0.676696142,590.3974406
78.97 ,1905.48 ,21.53 ,843.7312012,16.35017331,1196.6875,7748.281824,0,0.333981822,208.6894073
79.08 ,2216.63 ,17.31 ,885.072937,14.41302109,1089.8125,7392.290746,0,0.323076447,204.8902181
71.12 ,1953.59 ,16.35 ,882.6062215,15.75173632,1112.875,7161.117399,0,0.673465888,213.6065979
73.13 ,1651.51 ,26.06 ,844.2978923,17.26423581,1162.4375,7355.489433,0,0.436701208,213.1472371
74.43 ,1543.73 ,25.83 ,822.4395955,17.98611069,1212.8125,6886.46658,0,0.59972314,209.5661176
54.27 ,1501.84 ,19.71 ,818.9312541,18.44114558,1268.583333,6610.116212,0,0.5936263,223.7055028
63.31 ,1573.04 ,15.38 ,832.7521159,18.19600741,1326.041667,6675.267497,0,0.339521796,218.0723902
55.22 ,1673.47 ,13.33 ,852.3416545,17.46944427,1315.395833,6553.84953,0,0.718316793,227.4003677
68.88 ,1722.72 ,8.72 ,863.5083618,16.97604243,1278.854167,6669.208585,0,1.200502872,216.3959656
57.96 ,1739.06 ,7.66 ,867.2062581,16.78784752,1256.375,6668.093891,0,1.191944718,226.4710185
57.36 ,1804.33 ,9.62 ,874.0666707,16.37829844,1212.333333,6741.306367,0,0.920018454,229.0241623
76.22 ,2004.38 ,16.41 ,888.3208211,15.28420162,1129.979167,7057.488571,0,0.529169897,211.2628428
71.10 ,2116.80 ,16.32 ,900.3208211,14.68072955,1095.4375,7339.20254,0,0.667618275,218.7112694
56.93 ,1935.51 ,16.93 ,892.6062012,15.55607637,1101.75,6956.906043,0,1.544912537,212.4280574
41.21 ,1571.62 ,16.44 ,834.4541626,17.51111094,1185.583333,7060.970622,0,0.995111167,238.4177437
47.63 ,1672.67 ,19.63 ,833.8625285,17.24965223,1216.729167,7419.921894,0,0.854696155,222.5950673
32.03 ,1956.31 ,15.03 ,866.4291585,15.37725703,1142.6875,7643.25741,0,1.867108226,230.7420578
65.93 ,2627.27 ,21.97 ,907.7479248,11.78750006,1018.625,7841.115043,0,0.689971348,210.8917872
73.22 ,2787.58 ,22.10 ,929.1895752,9.767187436,907.1041667,8155.420735,0,0.399931788,205.7674472
79.21 ,2857.66 ,24.10 ,939.2749837,8.926041603,874.75,8357.998247,0,0.270705149,195.0185699
82.99 ,2782.17 ,27.46 ,932.5250041,9.309374809,869.2083333,8394.068951,0,0.118750406,193.4663162
77.33 ,2458.91 ,28.15 ,912.583313,11.43611081,941.2291667,7990.139303,0,0.258498748,202.1569519
76.15 ,2581.78 ,25.65 ,911.7125041,11.00763893,949.1875,7954.70867,0,0.242584507,203.9313596
82.44 ,2710.12 ,25.55 ,920.9833577,10.62291654,917.4583333,8224.695366,0,0.151277691,193.5733515
80.76 ,2318.22 ,26.40 ,888.4250081,13.4026041,996.2708333,7919.538828,0,0.443177372,196.2618891
67.23 ,2291.20 ,19.60 ,840.1875203,14.52968788,1088.520833,7883.20585,0,0.080972406,1068.980357
63.01 ,1718.81 ,17.70 ,814.8395793,17.46371524,1186.416667,7256.118906,0.00671875,0.2047163,1139.182892
53.16 ,1419.82 ,14.74 ,787.9291382,19.30434036,1291.791667,6818.647747,0,0.404468477,1216.474874
54.37 ,1461.45 ,17.58 ,794.4812622,19.38159688,1297.395833,6712.705981,1.232760131,1.118421257,1233.435109
51.26 ,1350.97 ,12.80 ,787.1353963,19.9767348,1368.145833,6315.566925,0.430903599,1.183684409,1282.419464
42.28 ,1424.92 ,9.70 ,793.364563,20.0104173,1348.375,5870.791433,0.383845816,0.400946329,1259.343994
30.88 ,1136.25 ,9.87 ,776.3687541,21.37239583,1394.604167,5138.585849,0.346737633,0.741601785,1236.041331
31.95 ,1173.23 ,12.75 ,776.7062785,21.20503489,1396.541667,5320.667835,0,0.424098651,376.9786072
56.76 ,1541.68 ,17.62 ,808.1875,19.02326457,1339.083333,6671.292027,0,0.338962754,233.9093475
74.81 ,2121.76 ,17.91 ,862.0333049,15.10781256,1124.6875,7726.807148,0,0.328593085,218.8857549
