CS,ELE,SL,AMP,AMT,AME,NDVI,NL,POP,GDP,DTW,DTG,DTH,DTC
264.75 ,2583.25 ,27.11 ,870.78 ,11.56 ,1055.91 ,0.55 ,0.00 ,0.19 ,5.92 ,22075.04 ,29539.93 ,1105.73 ,2804.91 
264.75 ,2431.00 ,32.58 ,872.79 ,11.82 ,1025.77 ,0.62 ,0.00 ,0.24 ,5.93 ,18289.54 ,27214.11 ,3669.81 ,350.00 
264.75 ,2174.75 ,27.63 ,949.44 ,15.04 ,1041.36 ,0.68 ,0.00 ,0.16 ,34.03 ,8664.15 ,26530.13 ,2263.30 ,5962.17 
239.76 ,1442.75 ,12.92 ,868.12 ,17.61 ,1180.61 ,0.59 ,0.00 ,0.53 ,41.55 ,8647.98 ,39555.37 ,36850.34 ,5275.18 
264.75 ,2817.00 ,20.34 ,873.52 ,10.62 ,1011.94 ,0.61 ,0.00 ,0.51 ,5.74 ,30843.27 ,20450.12 ,5985.61 ,9966.32 
175.54 ,2648.50 ,32.10 ,873.88 ,11.16 ,1020.64 ,0.60 ,0.00 ,0.26 ,6.61 ,6150.41 ,40062.54 ,15404.14 ,6417.75 
214.77 ,1856.50 ,13.66 ,822.13 ,16.27 ,1061.75 ,0.53 ,0.00 ,0.51 ,361.66 ,3842.85 ,25626.70 ,3253.84 ,5231.40 
264.75 ,2622.75 ,13.50 ,879.08 ,11.62 ,1066.79 ,0.52 ,0.00 ,0.16 ,7.45 ,30586.07 ,32701.80 ,8412.34 ,10071.12 
242.45 ,1810.50 ,31.66 ,941.71 ,16.01 ,1070.11 ,0.56 ,0.00 ,0.28 ,8.32 ,1710.99 ,22170.42 ,17459.31 ,16104.27 
164.78 ,1754.75 ,24.43 ,833.20 ,18.37 ,1257.47 ,0.45 ,0.00 ,0.44 ,563.36 ,2273.21 ,5312.96 ,3575.96 ,4790.35 
264.75 ,2815.17 ,23.65 ,879.39 ,10.60 ,1008.60 ,0.58 ,0.00 ,0.04 ,5.76 ,40721.55 ,23733.20 ,15608.08 ,9789.07 
264.75 ,3749.14 ,23.53 ,836.81 ,3.85 ,775.09 ,0.67 ,0.00 ,0.01 ,1.38 ,7134.41 ,68861.04 ,44956.16 ,8003.50 
264.75 ,2786.25 ,32.68 ,838.80 ,9.86 ,1046.14 ,0.47 ,0.00 ,0.31 ,4.82 ,8278.13 ,49564.18 ,32913.94 ,983.62 
264.75 ,3200.50 ,18.17 ,877.95 ,8.39 ,930.69 ,0.56 ,0.00 ,0.05 ,7.13 ,17813.13 ,22913.04 ,9753.33 ,5179.53 
239.76 ,2525.75 ,28.46 ,943.35 ,11.57 ,940.62 ,0.63 ,0.00 ,0.38 ,8.94 ,7385.63 ,44836.68 ,4341.37 ,15559.80 
164.78 ,2357.50 ,6.30 ,890.49 ,12.44 ,1122.78 ,0.39 ,0.00 ,0.68 ,9.11 ,13748.73 ,19902.95 ,2706.48 ,16383.15 
264.75 ,2874.63 ,7.72 ,901.78 ,9.97 ,974.77 ,0.61 ,0.00 ,0.40 ,35.52 ,26759.59 ,40495.23 ,16843.79 ,15994.85 
264.75 ,2540.25 ,16.13 ,880.27 ,11.66 ,1092.57 ,0.56 ,0.00 ,0.35 ,7.04 ,17120.38 ,24781.60 ,3479.58 ,4231.73 
264.75 ,1593.02 ,27.53 ,848.58 ,17.20 ,1184.92 ,0.62 ,0.00 ,0.62 ,34.21 ,2074.17 ,25884.63 ,19178.88 ,1474.10 
264.75 ,2971.75 ,31.31 ,953.21 ,8.60 ,852.07 ,0.66 ,0.00 ,0.07 ,5.98 ,7154.54 ,47985.49 ,24391.14 ,21206.78 
164.78 ,3134.71 ,19.10 ,875.96 ,8.45 ,911.63 ,0.59 ,0.00 ,0.12 ,8.65 ,22355.99 ,18397.76 ,6888.75 ,8868.21 
264.75 ,2551.50 ,14.27 ,944.93 ,11.17 ,920.44 ,0.63 ,0.00 ,0.19 ,33.97 ,9519.85 ,22250.11 ,17380.09 ,4813.26 
197.84 ,2347.00 ,37.24 ,866.11 ,11.84 ,1053.40 ,0.67 ,0.00 ,0.22 ,5.15 ,10762.32 ,35936.16 ,24332.85 ,430.02 
264.75 ,2276.32 ,24.79 ,846.47 ,14.96 ,1037.96 ,0.63 ,0.00 ,0.44 ,366.94 ,1839.23 ,18480.88 ,1043.37 ,8491.34 
228.40 ,1926.04 ,15.91 ,830.76 ,17.02 ,1232.50 ,0.00 ,0.00 ,0.04 ,270.77 ,6110.72 ,17049.24 ,1764.54 ,13646.21 
175.54 ,1349.25 ,34.13 ,760.38 ,18.73 ,1283.49 ,0.46 ,0.00 ,2.48 ,126.14 ,653.85 ,31930.04 ,3368.61 ,6085.02 
264.75 ,1612.75 ,17.30 ,807.34 ,17.89 ,1158.18 ,0.51 ,0.00 ,0.43 ,366.10 ,2933.85 ,20169.96 ,4302.03 ,5080.11 
264.75 ,2899.48 ,11.59 ,892.62 ,9.81 ,983.77 ,0.55 ,0.00 ,0.15 ,32.10 ,33712.03 ,36206.49 ,20141.26 ,7864.26 
164.78 ,1441.75 ,18.26 ,807.84 ,19.22 ,1299.41 ,0.49 ,0.00 ,0.21 ,427.04 ,6775.51 ,13229.80 ,295.81 ,8350.30 
175.54 ,2789.50 ,15.78 ,903.40 ,9.63 ,1014.14 ,0.42 ,0.00 ,0.41 ,7.88 ,8245.45 ,19445.50 ,3395.22 ,13690.42 
167.47 ,2128.50 ,10.22 ,870.79 ,12.95 ,1109.01 ,0.50 ,0.00 ,0.38 ,6.81 ,12009.48 ,39534.89 ,22964.48 ,50.00 
264.75 ,2164.25 ,37.23 ,907.81 ,14.01 ,1029.67 ,0.62 ,0.00 ,0.24 ,35.06 ,2899.57 ,36307.95 ,22244.72 ,1344.43 
195.15 ,1976.50 ,5.50 ,814.81 ,15.95 ,1188.83 ,0.42 ,0.00 ,0.97 ,43.11 ,5150.49 ,31265.44 ,9893.81 ,750.00 
264.75 ,2561.00 ,17.20 ,946.64 ,10.81 ,981.65 ,0.67 ,0.00 ,0.11 ,27.30 ,8062.72 ,30793.63 ,5319.53 ,5580.99 
197.84 ,3504.75 ,21.37 ,936.27 ,5.23 ,811.72 ,0.56 ,0.00 ,0.05 ,6.51 ,20552.55 ,22981.03 ,20795.37 ,12535.85 
